À,1287
Á,1754
Â,550
Ã,1044
Ä,802
Å,107
Æ,423
Ç,664
È,367
É,4
Ê,2410
Ë,732
Ì,1351
Í,495
Î,835
Ï,1859
Ð,607
Ñ,1903
Ò,1049
Ó,281
Ô,200
Õ,296
Ö,240
×,727
Ø,289
Ù,160
Ý,234
Þ,148
ß,224
